antecedents,consequents,support,confidence,lift,leverage,conviction
"Milk, Egg",Cereal,0.0158,0.5880893300248139,2.5268805357697532,0.009547231111111113,1.8627016064257027
"Cereal, Egg",Milk,0.0158,0.42625899280575547,2.620444627904235,0.00977048888888889,1.4594273772204809
"Milk, Fish",Cereal,0.0154,0.5675675675675677,2.4387033839912675,0.00908516888888889,1.774304166666667
"Fish, Cereal",Milk,0.0154,0.3996539792387543,2.4568892166316862,0.009131911111111113,1.394751200768492
"Milk, Flatbread With Meat",Cereal,0.015466666666666667,0.5686274509803922,2.443257451935229,0.00913632,1.7786636363636368
"Cereal, Flatbread With Meat",Milk,0.015466666666666667,0.4202898550724638,2.583749109052032,0.009480533333333334,1.4444000000000004
"Milk, Honey",Cereal,0.015,0.5867014341590612,2.520917076020028,0.009049784444444445,1.8564464773922182
"Cereal, Honey",Milk,0.015,0.40142729705619984,2.4677907605913925,0.00892168888888889,1.3988832588176852
"Ice Cream, Milk",Cereal,0.016166666666666666,0.5871670702179177,2.5229178038581397,0.009758742222222222,1.8585403714565005
"Ice Cream, Cereal",Milk,0.016166666666666666,0.4120645709430756,2.5331838377648093,0.009784711111111111,1.4241926782273604
"Milk, Juice",Cereal,0.0154,0.5825977301387137,2.503284431991036,0.009248082222222223,1.8381947633434037
"Juice, Cereal",Milk,0.0154,0.39588688946015427,2.4337308778288174,0.009072266666666669,1.38605390070922
"Lentil, Milk",Cereal,0.0139,0.5494071146245059,2.3606722198131163,0.008011846666666666,1.7027935672514618
"Lentil, Cereal",Milk,0.0139,0.374326750448833,2.3011890396444654,0.007859644444444445,1.3382917264466763
"Milk, Minced Meat",Cereal,0.014066666666666667,0.5487646293888166,2.3579116129568174,0.008100935555555556,1.7003690682036503
"Minced Meat, Cereal",Milk,0.014066666666666667,0.3951310861423221,2.4290845459568984,0.008275733333333334,1.3843219814241485
"Milk, Onion",Cereal,0.015766666666666665,0.5994930291508237,2.5758795294363668,0.00964578,1.915738607594936
"Cereal, Onion",Milk,0.015766666666666665,0.4102341717259323,2.5219313835610593,0.009514844444444445,1.4197725490196078
"Orange, Milk",Cereal,0.015733333333333332,0.6020408163265305,2.5868267673726604,0.009651235555555554,1.9280034188034183
"Orange, Cereal",Milk,0.015733333333333332,0.40901213171577117,2.5144188425149867,0.009476088888888887,1.4168367546432061
"Milk, Pizza",Cereal,0.0148,0.5888594164456233,2.530189414690447,0.008950635555555557,1.8661905376344086
"Cereal, Pizza",Milk,0.0148,0.4040036396724295,2.483628932412477,0.00884097777777778,1.404930279898219
"Potato, Milk",Cereal,0.015466666666666667,0.5925925925925926,2.5462299882236863,0.009392326666666666,1.883290909090909
"Potato, Cereal",Milk,0.015466666666666667,0.4070175438596491,2.5021570319240727,0.009285333333333333,1.4120710059171597
"Milk, Rice",Cereal,0.015,0.5761843790012804,2.475727781443485,0.008941175555555556,1.810378449144008
"Rice, Cereal",Milk,0.015,0.39612676056338025,2.435205495266682,0.008840355555555556,1.3866044703595723
"Milk, Sausage",Cereal,0.015233333333333333,0.5814249363867684,2.498245215067753,0.00913572,1.8330443768996958
"Cereal, Sausage",Milk,0.015233333333333333,0.4106019766397125,2.524192479342495,0.009198399999999999,1.4206585365853657
"Milk, Shampoo",Cereal,0.016033333333333333,0.5894607843137255,2.5327733499587177,0.009702986666666667,1.8689241791044777
"Shampoo, Cereal",Milk,0.016033333333333333,0.42869875222816395,2.635443148943631,0.0099496,1.4656599063962559
"Soap, Milk",Cereal,0.014666666666666666,0.5619412515964239,2.4145284371086677,0.008592326666666667,1.7515154518950433
"Soap, Cereal",Milk,0.014666666666666666,0.3897254207263065,2.3958529962682777,0.008544977777777778,1.3720599903241415
"Milk, Soda",Cereal,0.016033333333333333,0.5887392900856794,2.5296732601790866,0.00969522888888889,1.8656454365079367
"Cereal, Soda",Milk,0.016033333333333333,0.40693739424703895,2.5016643088957315,0.009624266666666667,1.4118801711840228
"Milk, Strawberry",Cereal,0.015033333333333333,0.5942028985507246,2.553149091452555,0.00914518,1.8907642857142855
"Cereal, Strawberry",Milk,0.015033333333333333,0.4023193577163247,2.4732747400593733,0.008955022222222223,1.4009711442786068
"Milk, Tomato",Cereal,0.016366666666666668,0.6046798029556651,2.598165867755651,0.010067351111111112,1.9408739356178615
"Tomato, Cereal",Milk,0.016366666666666668,0.42732811140121846,2.6270170782861793,0.010136533333333336,1.4621519756838905
"Milk, Water",Cereal,0.014833333333333334,0.5764248704663213,2.476761116297571,0.00884432888888889,1.8114063200815496
"Water, Cereal",Milk,0.014833333333333334,0.40417801998183467,2.484700942511279,0.008863466666666667,1.4053414634146342
"Milk, Yogurt",Cereal,0.014633333333333333,0.5599489795918366,2.405968116263979,0.008551235555555555,1.7435857004830915
"Yogurt, Cereal",Milk,0.014633333333333333,0.386443661971831,2.37567824982683,0.00847368888888889,1.3647211860353898
